subID,group,include,age,juice_like,juice_intense,salt_like,salt_intense,neut_like,neut_intense,juice1_motivation,juice1_like,salt1_motivation,salt1_like,neut1_motivation,neut1_like,juice2_motivation,juice2_like,salt2_motivation,salt2_like,neut2_motivation,neut2_like,juice4_motivation,juice4_like,salt4_motivation,salt4_like,neut4_motivation,neut4_like,basdrive,basfun,basreward,bis
71,OA,yes,72,4,4,2,6,5,2,6,4,6,2,6,5,6,4,6,3,6,5,6,4,6,2,6,5,9,10,15,20
72,OA,yes,69,7,5,2,4,3,3,6,6,2,1,3,4,6,6,2,1,3,4,7,7,3,1,4,4,7,10,17,20
73,OA,yes,77,6,6,5,5,4,3,6,6,4,4,3,3,6,6,4,4,3,3,6,6,4,4,3,3,8,9,13,16
74,OA,yes,67,6,5,1,5,3,5,5,5,2,2,3,3,5,5,1,2,3,3,5,5,1,1,3,3,8,9,14,20
75,OA,no,68,6,5,7,6,7,2,7,6,5,5,7,7,7,6,6,6,7,7,7,7,6,6,7,7,10,10,19,21
76,OA,yes,75,6,6,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,13,16,19
77,OA,yes,76,5,5,1,7,1,1,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,,7,12,9,17,21
78,OA,yes,84,5,4,3,4,3,5,3,5,5,3,6,4,4,6,6,4,7,6,4,6,6,6,7,6,10,11,18,18
79,OA,yes,75,7,5,1,6,6,5,6,6,,2,6,6,6,6,6,6,6,6,,,6,6,6,6,13,14,20,20
80,OA,no,69,6,7,2,6,4,1,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,13,12,18,21
81,OA,yes,79,5,6,1,6,2,5,7,4,7,1,7,2,7,5,7,1,7,2,7,,,1,7,1,11,11,17,16
82,OA,yes,75,6,6,3,5,4,4,6,7,3,5,5,5,5,5,4,4,5,5,6,6,4,4,5,5,12,15,18,15
83,OA,yes,72,6,6,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,11,19,21
84,OA,yes,85,6,6,3,4,3,2,6,6,6,5,6,5,7,7,6,5,6,5,7,7,6,6,6,6,7,10,16,21
85,OA,yes,77,7,5,2,3,4,2,4,4,2,2,3,3,3,4,2,2,4,4,5,3,2,2,4,4,9,10,15,21
86,OA,yes,70,7,4,6,4,6,5,5,7,5,7,6,6,6,5,6,,6,7,7,7,7,7,6,,11,11,15,18
87,OA,yes,66,7,5,3,3,5,4,5,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,10,15,21
88,OA,yes,73,7,4,2,2,7,1,7,5,3,2,6,6,7,6,3,2,6,6,7,6,5,3,6,6,10,11,18,20
89,OA,yes,71,6,6,5,5,4,4,1,6,4,6,2,4,4,4,4,4,4,4,4,4,6,6,6,6,15,14,20,21
90,OA,yes,71,7,4,2,4,7,3,4,7,4,2,4,7,4,7,4,2,7,7,4,7,4,2,4,7,6,15,19,19
91,OA,no,67,5,1,3,4,1,1,5,5,3,3,1,1,5,5,4,4,1,1,6,5,6,5,3,2,11,9,14,23
92,OA,yes,77,2,5,4,4,6,4,6,4,6,5,6,6,4,4,6,5,6,6,4,4,5,5,6,6,10,13,16,20
93,OA,no,92,,,,,,,,,,,,,,,,,,,,,,,,,11,13,17,23
94,OA,no,80,,,,,,,,,,,,,,,,,,,,,,,,,7,6,18,18
95,OA,yes,89,5,6,2,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,11,21,20
96,OA,yes,82,7,6,3,4,4,4,5,5,5,5,5,4,4,4,4,4,4,,,4,4,4,4,4,14,14,19,21
97,OA,no,84,7,5,1,,6,4,7,7,1,2,5,5,7,,1,1,,3,7,7,1,1,5,5,8,10,16,19
98,OA,yes,90,6,6,4,4,6,,,,,,,,,,,,,,,,,,,,10,10,15,15
99,OA,yes,80,7,5,4,6,7,1,7,4,2,2,7,4,7,4,7,2,7,4,7,4,7,2,7,4,11,8,16,25
100,OA,yes,85,6,6,2,3,7,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,11,17,21
101,OA,yes,77,7,5,3,3,4,4,7,7,7,6,7,6,7,7,7,6,7,6,7,7,7,6,7,6,11,10,17,18
102,OA,yes,86,5,6,1,2,6,6,6,6,2,2,6,6,6,6,2,,,2,6,6,2,2,6,6,12,9,16,20
103,OA,no,85,7,5,1,7,1,7,,7,1,1,7,5,6,7,1,,4,4,5,6,1,1,6,7,11,14,20,23
104,OA,yes,71,6,5,2,2,5,4,7,6,7,2,7,6,7,6,6,1,7,6,7,7,7,2,7,6,12,11,16,17
105,OA,no,90,6,6,2,2,6,6,3,4,2,2,5,5,5,5,3,3,5,5,4,4,3,3,5,5,10,11,15,10
106,OA,no,74,6,4,1,6,3,2,6,6,1,1,4,4,6,6,2,2,5,5,7,7,3,2,7,4,15,13,16,11
107,OA,no,26,7,6,2,7,4,4,7,4,6,4,7,5,6,5,6,7,7,7,6,6,7,1,7,1,7,7,13,27
108,OA,yes,73,4,3,5,4,4,,3,3,4,4,5,5,3,3,4,4,5,5,3,3,4,4,5,5,10,11,12,18
109,OA,yes,81,7,5,5,5,7,7,4,4,,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,11,13,19,21
110,OA,no,71,,,,,,,,,,,,,,,,,,,,,,,,,12,15,18,21
111,OA,yes,72,7,5,2,6,5,2,4,7,4,4,5,6,6,6,5,5,6,6,7,7,6,6,7,7,9,12,17,20
112,OA,no,81,7,6,2,7,5,5,4,6,4,3,4,4,4,4,4,4,5,5,4,5,5,3,,4,11,10,16,21
113,OA,yes,83,5,5,3,4,5,5,5,5,4,4,4,4,6,6,6,6,5,5,6,6,6,6,6,6,13,12,17,16
114,OA,yes,76,7,7,6,6,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,15,12,20,20
115,OA,yes,88,7,5,6,4,4,4,6,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,12,13,17,16
116,OA,yes,69,7,6,2,5,6,1,6,6,4,4,7,7,6,6,6,6,6,6,7,7,7,7,7,7,6,10,16,18
117,OA,yes,85,3,3,1,1,5,5,3,1,1,1,3,1,4,4,4,1,4,1,4,1,4,1,4,1,5,12,17,22
118,OA,yes,82,6,6,3,5,7,7,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,11,12,20,20
119,OA,no,85,7,6,5,6,7,7,6,6,6,5,6,7,6,6,5,5,6,6,6,6,6,5,6,6,14,11,19,26
